Renter_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,3,BHK,Apartment,Limat,"35,000",1500,Furnished,2
AGENT,2,BHK,Apartment,Limat,"23,000",1075,Unfurnished,3
OWNER,1,RK,Studio Apartment,Limat,"6,000",450,Semi-Furnished,1
OWNER,2,BHK,Apartment,Limat,"12,000",1000,Unfurnished,2
OWNER,1,RK,Studio Apartment,Limat,"7,500",450,Unfurnished,1
OWNER,1,RK,Studio Apartment,Limat,"6,000",300,Unfurnished,1
OWNER,1,RK,Studio Apartment,Limat,"7,500",400,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"9,500",650,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"10,500",650,Unfurnished,1
AGENT,1,RK,Studio Apartment,Limat,"7,500",400,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"9,000",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"9,000",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"9,000",620,Unfurnished,1
AGENT,1,BHK,Apartment,Limat,"9,000",620,Unfurnished,1
AGENT,3,BHK,Villa,Limat,"22,000",1500,Semi-Furnished,3
AGENT,3,BHK,Villa,Limat,"22,000",1500,Semi-Furnished,3
AGENT,3,BHK,Villa,Limat,"22,000",1500,Semi-Furnished,3
AGENT,3,BHK,Villa,Limat,"22,000",1500,Semi-Furnished,3
AGENT,3,BHK,Villa,Limat,"22,000",1500,Semi-Furnished,3
AGENT,3,BHK,Villa,Limat,"22,000",1500,Semi-Furnished,3
AGENT,3,BHK,Villa,Limat,"22,000",1500,Semi-Furnished,3
AGENT,3,BHK,Villa,Limat,"22,000",1500,Semi-Furnished,3
AGENT,2,BHK,Apartment,Limat,"15,000",1200,Semi-Furnished,2
AGENT,2,BHK,Apartment,Limat,"12,000",820,Semi-Furnished,2
AGENT,2,BHK,Apartment,Limat,"12,000",820,Semi-Furnished,2
AGENT,2,BHK,Apartment,Limat,"12,000",820,Semi-Furnished,2
AGENT,2,BHK,Apartment,Limat,"12,000",820,Semi-Furnished,2
AGENT,2,BHK,Apartment,Limat,"15,000",1200,Semi-Furnished,2
AGENT,2,BHK,Apartment,Limat,"12,500",920,Semi-Furnished,2
AGENT,2,BHK,Apartment,Limat,"12,500",920,Semi-Furnished,2
AGENT,1,BHK,Apartment,Limat,"9,000",620,Unfurnished,1
